ESPECIE,T_DISTRIB,VEDA,RESOLUCION,ENTID_VEDA,CATEG_CIT,CATEG_UICN,CATE_MINIS,MIGRACION,TIPO_MIGR,VIGEN_VEDA,USO,DIETA,DISTR_ALT,TABLA,TABLA
Camptostoma obsoletum,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<2800,CIRA,VRC
Campylorhynchus griseus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<2100,CIRA,VRC
Caracara cheriway,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente, Apéndice II,Preocupación Menor (LC),No aplica,No,,Indefinida,,Omnivoro,<2600,CIRA,VRC
Carollia sp.,,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,,,Indefinida,,Frugívoro,,CIRA,NULL
Cathartes aura,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,0,Carnivoro,<4300,CIRA,VRC
Cathartes burrovianus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Otro,<1000,CIRA,VRC
Cebus albifrons versicolor,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Omnivoro,<2000,CIRA,NULL
Certhiaxis cinnamomeus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<1000,CIRA,VRC
Chaetura brachyura,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1050,CIRA,NULL
Chalybura buffonii,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Nectarívoro,<2000,CIRA,NULL
Chauna chavaria,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Casi Amenazada (NT),Vulnerable (VU),Sí,Longitudinal,Indefinida,Mascotas,Herbívoro,<1200,CIRA,VRC
Chelonoidis carbonaria,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apendice II,,Vulnerable (VU),No,,Indefinida,Mascotas,Herbívoro,<300,CIRA,NULL
Chrysomus icterocephalus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Omnivoro,<2600,CIRA,VRC
Cnemidophorus lemniscatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,No,0,Indefinida,0,Insectivoro,<1600,CIRA,NULL
Coccyzus americanus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,l,Indefinida,,Insectivoro,<2800,CIRA,NULL
Coendou bicolor,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,,Indefinida,,Frugívoro,<2500,CIRA,NULL
Coereba flaveola,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Nectarívoro,<1500,CIRA,VRC
Colaptes punctigula,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<1600,CIRA,VRC
