SCIENTIFIC_NAME,T_DISTRIB,VEDA,RESOLUCION,ENTID_VEDA,CATEG_CIT,CATEG_UICN,CATE_MINIS,MIGRACION,TIPO_MIGR,VIGEN_VEDA,USO,DIETA,DISTR_ALT
Leptodactylus fragilis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<800
Leptodactylus fuscus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<500
Leptodactylus savagei,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectívoro,<660
Leptophis ahaetulla,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Carnívoro,<2000
Leptotila verreauxi,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<2800
Lontra longicaudis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apéndice I,Casi Amenazada (NT),Vulnerable (VU),No,No Aplica,Indefinida,Mascotas,Carnivoro,<4000
Lygophis lineatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,No Evaluado (NE),No aplica,No,,Indefinida,,Insectivoro,<1500
Machetornis rixosa,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<900
Manacus manacus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No Evaluado (NE),No,No Aplica,Indefinida,,Frugívoro,1000
Marmosa robinsoni,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Omnívoro,<2600
Megaceryle torquata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<1500
Melanerpes rubricapillus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1900
Melanomys sp,,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),,,,Indefinida,,Otro,<1200
Mesembrinibis cayennensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<500
Milvago chimachima,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apéndice II,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1200
Mimus gilvus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,Mascotas,Insectívoro,<2500
Mionectes oleagineus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Frugívoro,<1800
Molossus molossus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1660
Myiodynastes maculatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),Preocupación Menor (LC),Sí,Estacional,Indefinida,,Omnívoro,<3000
Myiozetetes cayanensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<2000
Nannopterum brasilianus,Cosmopolita,,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Estacional,Indefinida,Subsistencia,Carnívoro,<5000
Notharchus tectus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectívoro,1000
Nyctidromus albicollis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<2300
Ortalis columbiana,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<2500
Pandion haliaetus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Carnívoro,<1000
Panthera onca,Cosmopolita,,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apéndice I,Casi Amenazada (NT),Vulnerable (VU),No,No Aplica,Indefinida,,Carnívoro,<3000
Parkesia noveboracensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Insectivoro,<2000
Patagioenas cayennensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Estacional,Indefinida,Subsistencia,Frugívoro,<800
Penelope purpurascens,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apéndice III,Preocupación Menor (LC),No aplica,No,,Indefinida,,Frugívoro,<1000
Phaetusa simplex,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Carnívoro,<200
Phalacrocorax olivaceus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<2600
Phimosus infuscatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Omnivoro,<2600
Pilherodius pileatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<400
Piranga rubra,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,Mascotas,Frugívoro,<1800
Pitangus sulphuratus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Omnivoro,<1500
Platalea ajaja,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,Otro,Carnívoro,<800
Pleurodema brachyops,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectívoro,<500
Podocnemis lewyana,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apéndice II,Peligro Crítico (CR),Peligro Crítico (CR),No,,Indefinida,Subsistencia,Herbívoro,<800
Porphyrio martinicus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Longitudinal,Indefinida,,Omnivoro,<1200
Prochilodus magdalenae,Cosmopolita,,,,No Aplica,,Vulnerable (VU),Sí,Estacional,,Subsistencia,Otro,<200
Procyon cancrivorus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<2350
Progne tapera,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Insectívoro,<1600
Protonotaria citrea,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,Mascotas,Frugívoro,<1000
Psarocolius decumanus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,Mascotas,Frugívoro,<2600
Pseudopaludicola pusilla,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,
Pygochelidon cyanoleuca,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Insectívoro,<3600
Pyrocephalus rubinus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Insectivoro,<1500
Quiscalus lugubris,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Omnivoro,<1000
Ramphocelus dimidiatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<1700
Reithrodontomys sp,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,No,,Indefinida,,Herbívoro,
Rhinella granulosa,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1000
Rhinoclemmys melanosterna,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,No Evaluado (NE),No aplica,No,,Indefinida,Mascotas,Carnivoro,<500
Riparia riparia,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Estacional,Indefinida,,Insectivoro,<3000
Rostrhamus sociabilis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<1000
Rupornis magnirostris,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<2600
Sakesphorus canadensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectívoro,<900
Saltator albicollis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<2000
Saltator coerulescens,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<1500
Saltator maximus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<1700
Saltator striatipectus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<2000
Scarthyla vigilans,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<500
Scinax rostratus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectívoro,<1300
Scinax ruber,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectívoro,<2600
Sciurus granatensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<3000
Sicalis flaveola,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<2000
Spilotes pullatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,No Evaluado (NE),No aplica,No,,Indefinida,,Carnivoro,<2000
Sporophila crassirostris,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Herbívoro,<700
Sporophila intermedia,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación menor (LC),No aplica,No,,Indefinida,Mascotas,Herbívoro,2000
Sporophila minuta,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Omnivoro,<1100
Sporophila nigricollis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<2300
Sporophila schistacea,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación menor (LC),No aplica,No,,Indefinida,Mascotas,Herbívoro,<1500
Stelgidopteryx ruficollis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<3600
Synallaxis albescens,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1500
Synbranchus marmoratus,Cosmopolita,,,,No Aplica,,No aplica,Sí,Estacional,,Otro,Carnivoro,<600
Tachybaptus dominicus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Carnívoro,<2600
Tamandua mexicana,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apéndice III,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectívoro,<2000
Tangara episcopus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<2600
Tangara palmarum,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<1200
Tapera naevia,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1500
Taraba major,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectívoro,<2200
Thamnodynastes gambotensis,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<200
Thamnophilus doliatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<2000
Theristicus caudatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación menor (LC),No aplica,No,,Indefinida,,Carnivoro,<2000
Tigrisoma lineatum,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<500
Tigrisona fasciaum,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<500
Tityra inquisitor,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Carnívoro,<1200
Todirostrum cinereum,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1500
Trachemys scripta,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),Vulnerable (VU),No,Altitudinal,Indefinida,Subsistencia,Omnívoro,<600
Trichopodus pectoralis,Cosmopolita,,,,No Aplica,Preocupación Menor (LC),No aplica,No,,,Subsistencia,Carnivoro,<200
Tringa solitaria,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Insectivoro,<3000
Troglodytes aedon,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1000
Tupinambis teguixin,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apéndice II,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<600
Turdus ignobilis,Cosmopolita,,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,Mascotas,Insectívoro,<2800
Tyrannus dominicensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Estacional,Indefinida,,Insectívoro,<900
Tyrannus melancholicus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Insectívoro,<2700
Tyrannus savana,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Insectívoro,<4100
Vanellus chilensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectívoro,<2600
Volatinia jacarina,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Otro,<2000
Zenaida auriculata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Subsistencia,Frugívoro,<4400
Amerotyphlops reticulatus,Cosmopolita,Nacional,791 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<812
Andinoacara pulcher,Restringida,Nacional,792 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,Sí,Estacional,Indefinida,Otro,Carnivoro,<600
Anolis aff. sulcifrons,,Nacional,793 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,No,,Indefinida,,Insectivoro,
Anurolimnas viridis,Cosmopolita,Nacional,797 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Granívoro,<1300
Ara ararauna,Cosmopolita,Nacional,798 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<500
Artibeus lituratus,Cosmopolita,Nacional,801 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Frugívoro,<2000
Astyanas fasciatus,Restringida,Nacional,802 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,Sí,Estacional,Indefinida,Otro,Carnivoro,<500
Basiliscus galeritus,Restringida,Nacional,803 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<980
Bothrops asper,Cosmopolita,Nacional,805 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,No,,Indefinida,,Carnivoro,<600
Caecilia aff. Subnigricans,Restringida,Nacional,812 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,
Carollia sp.,,Nacional,817 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,,,Indefinida,,Frugívoro,
Cebus albifrons versicolor,Cosmopolita,Nacional,820 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Omnivoro,<2000
Chaetura brachyura,Cosmopolita,Nacional,822 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1050
Chalybura buffonii,Cosmopolita,Nacional,823 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Nectarívoro,<2000
Chelonoidis carbonaria,Restringida,Nacional,825 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apendice II,,Vulnerable (VU),No,,Indefinida,Mascotas,Herbívoro,<300
Cnemidophorus lemniscatus,Cosmopolita,Nacional,827 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,No,0,Indefinida,0,Insectivoro,<1600
Coccyzus americanus,Cosmopolita,Nacional,828 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,l,Indefinida,,Insectivoro,<2800
Coendou bicolor,Cosmopolita,Nacional,829 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,,Indefinida,,Frugívoro,<2500
Columba livia,Cosmopolita,Nacional,832 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Granívoro,<4300
Contopus sp,,Nacional,835 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,,,Indefinida,,Insectivoro,
Cyclarhis gujanensis,Cosmopolita,Nacional,841 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Frugívoro,<3100
Dendroplex picus,Cosmopolita,Nacional,844 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1400
Dryocopus lineatus,Cosmopolita,Nacional,847 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<2100
Eigenmannia virescens,,Nacional,848 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,,No aplica,,,Indefinida,Subsistencia,Carnivoro,<300
Eira barbara,Cosmopolita,Nacional,849 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apendice III,Preocupación menor (LC),No aplica,No,,Indefinida,,Carnivoro,<1200
Fluvicula pica,Cosmopolita,Nacional,856 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1000
