DIVISION,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE,N_COMUN
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis miyatai,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis mnionaetes,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis modipeplus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis molybrignus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis mondolfii,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis moro,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis muchimuk,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis muricatus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis muscosus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis mutabilis,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis myersi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis myops,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis nebulosus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis nephophilus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis nervicus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis nicefori,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis nigrogriseus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis nubisilva,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis nyctophylax,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis obmutescens,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis ocellatus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis ockendeni,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis ocreatus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis olivaceus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis omeviridis,
