DIVISION,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE,N_COMUN
CHORDATA,MAMMALIA,CHIROPTERA,MORMOOPIDAE,Pteronotus,Pteronotus davyi,
CHORDATA,MAMMALIA,CHIROPTERA,MORMOOPIDAE,Pteronotus,Pteronotus gymnonotus,
CHORDATA,MAMMALIA,CHIROPTERA,MORMOOPIDAE,Pteronotus,Pteronotus paraguanensis,
CHORDATA,MAMMALIA,CHIROPTERA,MORMOOPIDAE,Pteronotus,Pteronotus personatus,
CHORDATA,MAMMALIA,CHIROPTERA,MORMOOPIDAE,Pteronotus,Pteronotus rubiginosus,
CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Pteronura,Pteronura brasiliensis,
CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Pterophanes,Pterophanes cyanopterus,
CHORDATA,ACTINOPTERYGII,SILURIFORMES,LORICARIIDAE,Pterygoplichthys,Pterygoplichthys scrophus,
CHORDATA,ACTINOPTERYGII,SILURIFORMES,LORICARIIDAE,Pterygoplichthys,Pterygoplichthys undecimalis,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus bicolor,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus bilineatus,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus brevifrontalis,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus danieli,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus eurylepis,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus festae,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus gorgonae,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus grandisquamatus,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus kugleri,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus myersi,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus plicatus,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus romaleos,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus stenolepis,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus,Ptychoglossus vallensis,
CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,ONEIRODIDAE,Puck,Puck pinnata,
CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Pudu,Pudu mephistophiles,
